Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,PROKKA_Fusobacterium_necrophorum_BL.fna,PROKKA_Fusobacterium_necrophorum_D12.fna,PROKKA_Fusobacterium_necrophorum_DJ-1.fna,PROKKA_Fusobacterium_necrophorum_DJ-2.fna,PROKKA_Fusobacterium_necrophorum_isolate_MGYG-HGUT-02362.fna,PROKKA_Fusobacterium_necrophorum_strain_ATCC_25286.fna,PROKKA_Fusobacterium_necrophorum_strain_FDAARGOS_565.fna,PROKKA_Fusobacterium_necrophorum_strain_KG34.fna,PROKKA_Fusobacterium_necrophorum_strain_KG35.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_ATCC_51357.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_B35_FNF_B35.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_Fnf_1007.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_1_1.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_CCUG_42162.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1248.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1250.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1260.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1267.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1285.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1291.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1309.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1314_102.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1330.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1351_200.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1353.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_F1365.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1195_338.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1197.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1260.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1264.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1266.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1272_324.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_LS_1291.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_P1_CP.fna,PROKKA_Fusobacterium_necrophorum_subsp._funduliforme_strain_P1_LM.fna,PROKKA_Fusobacterium_necrophorum_subsp._necrophorum_strain_ATCC_25286.fna,PROKKA_usobacterium_necrophorum_BFTR-1.fna,PROKKA_usobacterium_necrophorum_BFTR-2.fna,PROKKA_usobacterium_necrophorum_DAB.fna,PROKKA_usobacterium_necrophorum_HUN048_T527.fna,PROKKA_usobacterium_necrophorum_subsp._funduliforme_B35.fna,PROKKA_usobacterium_necrophorum_subsp._funduliforme_strain_LS_1280.fna
carE_4,,Caffeyl-CoA reductase-Etf complex subunit CarE,41,41,1,56,5175,4,8,,1037,1037,1037,CNENEDLI_00376,DFALKBJJ_01695,EJBHNGMC_01637,DCFFOKJI_00005,PHBPEANE_01341,JINGLCIG_00848,ADPOPIFB_00068,,DJMJFLHK_01784,AIHILEFE_00059,JGGOHAED_01497,GJMCKLCA_01432,GBODHHMP_01162,MNODNHPF_01624,EJGBHNGE_01857,BJIHFIIA_02490,CCJAMINL_01024,INNBEBHB_01878,BCLEFNON_00320,PIKLICFD_00812,KCBGGAIE_00443,DKDLJDCI_01818,HHABKOMD_00249,HFDAGFPP_01759,OIIKEPCC_01513,LJEDAGOM_00212,IPMILDJG_02194,BJPOBNPA_00731,MHOHJPEI_01947,IFBIBDFK_01914,NDJNICBH_00625,GDMGBJMC_00278,PCEJJBAK_01857,CENHJHOP_00005,OJDKFIFK_00005,HDNLMBCC_01398,LLAELIHG_01532,JNMNFCGE_01725,FDAPKMPL_02159,PPEHEOKD_01825,GBLJPCAA_00471,DMLJKPOB_01047
group_2142,,hypothetical protein,41,41,1,56,5179,4,16,,620,1322,1304,CNENEDLI_00380,DFALKBJJ_01691,EJBHNGMC_01641,DCFFOKJI_00009,PHBPEANE_01345,JINGLCIG_00844,ADPOPIFB_00072,,DJMJFLHK_01788,AIHILEFE_00063,JGGOHAED_01501,GJMCKLCA_01436,GBODHHMP_01158,MNODNHPF_01620,EJGBHNGE_01853,BJIHFIIA_02486,CCJAMINL_01020,INNBEBHB_01882,BCLEFNON_00324,PIKLICFD_00808,KCBGGAIE_00447,DKDLJDCI_01822,HHABKOMD_00253,HFDAGFPP_01763,OIIKEPCC_01517,LJEDAGOM_00216,IPMILDJG_02190,BJPOBNPA_00735,MHOHJPEI_01951,IFBIBDFK_01918,NDJNICBH_00629,GDMGBJMC_00274,PCEJJBAK_01861,CENHJHOP_00009,OJDKFIFK_00009,HDNLMBCC_01394,LLAELIHG_01528,JNMNFCGE_01721,FDAPKMPL_02155,PPEHEOKD_01829,GBLJPCAA_00466,DMLJKPOB_01051
crt_2,,Short-chain-enoyl-CoA hydratase,41,41,1,56,5181,4,14,,788,788,788,CNENEDLI_00381,DFALKBJJ_01690,EJBHNGMC_01642,DCFFOKJI_00010,PHBPEANE_01346,JINGLCIG_00843,ADPOPIFB_00073,,DJMJFLHK_01789,AIHILEFE_00064,JGGOHAED_01502,GJMCKLCA_01437,GBODHHMP_01157,MNODNHPF_01619,EJGBHNGE_01852,BJIHFIIA_02485,CCJAMINL_01019,INNBEBHB_01883,BCLEFNON_00325,PIKLICFD_00807,KCBGGAIE_00448,DKDLJDCI_01823,HHABKOMD_00254,HFDAGFPP_01764,OIIKEPCC_01518,LJEDAGOM_00217,IPMILDJG_02189,BJPOBNPA_00736,MHOHJPEI_01952,IFBIBDFK_01919,NDJNICBH_00630,GDMGBJMC_00273,PCEJJBAK_01862,CENHJHOP_00010,OJDKFIFK_00010,HDNLMBCC_01393,LLAELIHG_01527,JNMNFCGE_01720,FDAPKMPL_02154,PPEHEOKD_01830,GBLJPCAA_00464,DMLJKPOB_01052
citD,,Citrate lyase acyl carrier protein,41,41,1,56,5185,76,2,,284,284,284,CNENEDLI_00385,DFALKBJJ_01685,EJBHNGMC_00253,DCFFOKJI_00014,PHBPEANE_01350,JINGLCIG_00839,ADPOPIFB_00077,NJBJJNNI_01974,,AIHILEFE_00068,JGGOHAED_01506,GJMCKLCA_01441,GBODHHMP_01153,MNODNHPF_01615,EJGBHNGE_01848,BJIHFIIA_02481,CCJAMINL_01015,INNBEBHB_01887,BCLEFNON_00329,PIKLICFD_00803,KCBGGAIE_00452,DKDLJDCI_01827,HHABKOMD_00258,HFDAGFPP_01768,OIIKEPCC_01522,LJEDAGOM_00221,IPMILDJG_02185,BJPOBNPA_01714,MHOHJPEI_01956,IFBIBDFK_01923,NDJNICBH_00634,GDMGBJMC_00269,PCEJJBAK_01866,CENHJHOP_00014,OJDKFIFK_00014,HDNLMBCC_01389,LLAELIHG_01523,JNMNFCGE_02259,FDAPKMPL_02150,PPEHEOKD_01834,GBLJPCAA_00460,DMLJKPOB_01056
alsT_2,,Amino-acid carrier protein AlsT,41,41,1,56,5266,1,3046,,1184,1433,1421,CNENEDLI_00447,,EJBHNGMC_02087,DCFFOKJI_00076,PHBPEANE_01416,JINGLCIG_00776,ADPOPIFB_00140,NJBJJNNI_01918,DJMJFLHK_01856,AIHILEFE_00130,JGGOHAED_01572,GJMCKLCA_01507,GBODHHMP_01090,MNODNHPF_01553,EJGBHNGE_01782,BJIHFIIA_02415,CCJAMINL_00949,INNBEBHB_01953,BCLEFNON_00395,PIKLICFD_00741,KCBGGAIE_00518,DKDLJDCI_01889,HHABKOMD_00324,HFDAGFPP_01834,OIIKEPCC_01584,LJEDAGOM_00287,IPMILDJG_02119,BJPOBNPA_01780,MHOHJPEI_02022,IFBIBDFK_01985,NDJNICBH_00459,GDMGBJMC_00203,PCEJJBAK_01928,CENHJHOP_00080,OJDKFIFK_00080,HDNLMBCC_01326,LLAELIHG_00257,JNMNFCGE_01155,FDAPKMPL_02086,PPEHEOKD_01895,GBLJPCAA_00390,DMLJKPOB_01120
oppD_1,,Oligopeptide transport ATP-binding protein OppD,41,41,1,56,1277,168,2,,794,812,809,CNENEDLI_00486,DFALKBJJ_01388,,DCFFOKJI_01085,PHBPEANE_00446,JINGLCIG_00881,ADPOPIFB_02206,NJBJJNNI_00090,DJMJFLHK_00439,AIHILEFE_01824,JGGOHAED_00097,GJMCKLCA_01161,GBODHHMP_01622,MNODNHPF_00226,EJGBHNGE_01111,BJIHFIIA_01020,CCJAMINL_01279,INNBEBHB_00900,BCLEFNON_00921,PIKLICFD_01048,KCBGGAIE_00914,DKDLJDCI_01045,HHABKOMD_00850,HFDAGFPP_01140,OIIKEPCC_00213,LJEDAGOM_00021,IPMILDJG_01701,BJPOBNPA_00985,MHOHJPEI_00886,IFBIBDFK_00436,NDJNICBH_01813,GDMGBJMC_01771,PCEJJBAK_00230,CENHJHOP_01128,OJDKFIFK_00790,HDNLMBCC_01665,LLAELIHG_00106,JNMNFCGE_01849,FDAPKMPL_01370,PPEHEOKD_00407,GBLJPCAA_00832,DMLJKPOB_00178
mtnK,,Methylthioribose kinase,41,41,1,56,1270,9,9,,1166,1214,1203,CNENEDLI_00492,DFALKBJJ_01381,EJBHNGMC_00555,DCFFOKJI_01079,PHBPEANE_00439,JINGLCIG_00875,ADPOPIFB_02212,NJBJJNNI_00096,,AIHILEFE_01831,JGGOHAED_00105,GJMCKLCA_01154,GBODHHMP_01614,MNODNHPF_00219,EJGBHNGE_01104,BJIHFIIA_01027,CCJAMINL_01272,INNBEBHB_00907,BCLEFNON_00928,PIKLICFD_01041,KCBGGAIE_00921,DKDLJDCI_01038,HHABKOMD_00857,HFDAGFPP_01133,OIIKEPCC_00220,LJEDAGOM_00028,IPMILDJG_01708,BJPOBNPA_00978,MHOHJPEI_00893,IFBIBDFK_00429,NDJNICBH_01806,GDMGBJMC_01778,PCEJJBAK_00223,CENHJHOP_01121,OJDKFIFK_00783,HDNLMBCC_01659,LLAELIHG_00112,JNMNFCGE_01843,FDAPKMPL_01364,PPEHEOKD_00400,GBLJPCAA_00821,DMLJKPOB_00171
rpoD,,hypothetical protein,41,41,1,56,2661,3,42,,866,866,866,CNENEDLI_00503,DFALKBJJ_00877,EJBHNGMC_00003,DCFFOKJI_01602,PHBPEANE_01126,JINGLCIG_01354,ADPOPIFB_01266,NJBJJNNI_00481,,AIHILEFE_00637,JGGOHAED_01192,GJMCKLCA_00808,GBODHHMP_00178,MNODNHPF_01416,EJGBHNGE_02045,BJIHFIIA_00523,CCJAMINL_02176,INNBEBHB_02141,BCLEFNON_02133,PIKLICFD_01936,KCBGGAIE_01883,DKDLJDCI_00004,HHABKOMD_01813,HFDAGFPP_01911,OIIKEPCC_00512,LJEDAGOM_01678,IPMILDJG_01378,BJPOBNPA_01501,MHOHJPEI_02144,IFBIBDFK_00651,NDJNICBH_00376,GDMGBJMC_00391,PCEJJBAK_00395,CENHJHOP_01810,OJDKFIFK_01808,HDNLMBCC_00191,LLAELIHG_00767,JNMNFCGE_01158,FDAPKMPL_01066,PPEHEOKD_01713,GBLJPCAA_00229,DMLJKPOB_00461
group_2188,,hypothetical protein,41,41,1,56,2468,3,21,,443,476,475,CNENEDLI_00536,DFALKBJJ_00895,EJBHNGMC_01224,DCFFOKJI_01990,PHBPEANE_01990,JINGLCIG_00951,ADPOPIFB_01113,NJBJJNNI_00876,,AIHILEFE_01031,JGGOHAED_01937,GJMCKLCA_00683,GBODHHMP_00294,MNODNHPF_02056,EJGBHNGE_01416,BJIHFIIA_01253,CCJAMINL_02292,INNBEBHB_01171,BCLEFNON_01315,PIKLICFD_02053,KCBGGAIE_00888,DKDLJDCI_00350,HHABKOMD_01065,HFDAGFPP_00451,OIIKEPCC_01291,LJEDAGOM_01187,IPMILDJG_01630,BJPOBNPA_01109,MHOHJPEI_01273,IFBIBDFK_01566,NDJNICBH_01602,GDMGBJMC_00872,PCEJJBAK_01067,CENHJHOP_00913,OJDKFIFK_00905,HDNLMBCC_00344,LLAELIHG_01342,JNMNFCGE_02287,FDAPKMPL_01313,PPEHEOKD_00208,GBLJPCAA_00013,DMLJKPOB_01006
pulG,,Type II secretion system protein G,41,41,1,56,2464,3,25,,314,473,469,CNENEDLI_00540,DFALKBJJ_00891,EJBHNGMC_01220,DCFFOKJI_01986,PHBPEANE_01986,JINGLCIG_00955,ADPOPIFB_01109,NJBJJNNI_00880,,AIHILEFE_01027,JGGOHAED_01941,GJMCKLCA_00687,GBODHHMP_00298,MNODNHPF_02052,EJGBHNGE_01412,BJIHFIIA_01249,CCJAMINL_02296,INNBEBHB_01167,BCLEFNON_01311,PIKLICFD_02057,KCBGGAIE_00884,DKDLJDCI_00354,HHABKOMD_01061,HFDAGFPP_00447,OIIKEPCC_01295,LJEDAGOM_01183,IPMILDJG_01634,BJPOBNPA_01105,MHOHJPEI_01269,IFBIBDFK_01570,NDJNICBH_01606,GDMGBJMC_00876,PCEJJBAK_01071,CENHJHOP_00909,OJDKFIFK_00901,HDNLMBCC_00348,LLAELIHG_01346,JNMNFCGE_02291,FDAPKMPL_01317,PPEHEOKD_00212,GBLJPCAA_00009,DMLJKPOB_01010
pla_1,,Coagulase/fibrinolysin,41,41,1,56,4146,1,3627,,158,1073,1020,CNENEDLI_00612,DFALKBJJ_00762,EJBHNGMC_01985,DCFFOKJI_02273,PHBPEANE_00065,JINGLCIG_00505,ADPOPIFB_00707,NJBJJNNI_01563,DJMJFLHK_01600,AIHILEFE_01225,JGGOHAED_01655,GJMCKLCA_00693,GBODHHMP_00671,MNODNHPF_01161,EJGBHNGE_00232,BJIHFIIA_00343,CCJAMINL_00353,INNBEBHB_00235,BCLEFNON_00235,PIKLICFD_00273,KCBGGAIE_00075,DKDLJDCI_00366,HHABKOMD_00236,HFDAGFPP_00688,OIIKEPCC_00897,LJEDAGOM_00990,IPMILDJG_00300,BJPOBNPA_00231,MHOHJPEI_00235,IFBIBDFK_01079,NDJNICBH_01665,GDMGBJMC_02032,PCEJJBAK_01290,CENHJHOP_00642,OJDKFIFK_00300,HDNLMBCC_00760,LLAELIHG_01041,,FDAPKMPL_01762,PPEHEOKD_01089,GBLJPCAA_02026,DMLJKPOB_00331
cfiA_2,,2-oxoglutarate carboxylase large subunit,41,41,1,56,5819,198,1,,407,419,418,CNENEDLI_00595,DFALKBJJ_01016,EJBHNGMC_01581,DCFFOKJI_00509,PHBPEANE_00674,JINGLCIG_01529,ADPOPIFB_02040,NJBJJNNI_01648,,AIHILEFE_01933,JGGOHAED_00531,GJMCKLCA_01339,GBODHHMP_01961,MNODNHPF_01899,EJGBHNGE_01522,BJIHFIIA_01573,CCJAMINL_01596,INNBEBHB_01624,BCLEFNON_01809,PIKLICFD_01390,KCBGGAIE_01491,DKDLJDCI_00090,HHABKOMD_01464,HFDAGFPP_01353,OIIKEPCC_00599,LJEDAGOM_01426,IPMILDJG_01071,BJPOBNPA_01380,MHOHJPEI_01380,IFBIBDFK_00737,NDJNICBH_01154,GDMGBJMC_00799,PCEJJBAK_00482,CENHJHOP_01358,OJDKFIFK_01309,HDNLMBCC_01830,LLAELIHG_00570,JNMNFCGE_00566,FDAPKMPL_00260,PPEHEOKD_00839,GBLJPCAA_01237,DMLJKPOB_01476
group_221,,hypothetical protein,41,41,1,56,4157,99,3,,701,1157,1130,CNENEDLI_00619,DFALKBJJ_00002,EJBHNGMC_01930,DCFFOKJI_00800,PHBPEANE_00050,JINGLCIG_00512,ADPOPIFB_00700,NJBJJNNI_01555,,AIHILEFE_01217,JGGOHAED_01645,GJMCKLCA_00374,GBODHHMP_00682,MNODNHPF_01153,EJGBHNGE_00216,BJIHFIIA_00328,CCJAMINL_00368,INNBEBHB_00220,BCLEFNON_00220,PIKLICFD_00280,KCBGGAIE_00091,DKDLJDCI_00373,HHABKOMD_00220,HFDAGFPP_00672,OIIKEPCC_00904,LJEDAGOM_00974,IPMILDJG_00316,BJPOBNPA_00247,MHOHJPEI_00220,IFBIBDFK_01086,NDJNICBH_01794,GDMGBJMC_00789,PCEJJBAK_01297,CENHJHOP_00627,OJDKFIFK_00285,HDNLMBCC_00767,LLAELIHG_01026,JNMNFCGE_00125,FDAPKMPL_00086,PPEHEOKD_01104,GBLJPCAA_02014,DMLJKPOB_00346
gpmI,,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",41,41,1,56,4179,210,1,,1520,1520,1520,CNENEDLI_00638,DFALKBJJ_00019,EJBHNGMC_00237,DCFFOKJI_02097,PHBPEANE_00033,JINGLCIG_00531,ADPOPIFB_00681,NJBJJNNI_01538,,AIHILEFE_01200,JGGOHAED_01628,GJMCKLCA_00391,GBODHHMP_00699,MNODNHPF_01136,EJGBHNGE_00199,BJIHFIIA_00311,CCJAMINL_00385,INNBEBHB_00203,BCLEFNON_00203,PIKLICFD_00297,KCBGGAIE_00108,DKDLJDCI_00390,HHABKOMD_00203,HFDAGFPP_00655,OIIKEPCC_00921,LJEDAGOM_00957,IPMILDJG_00333,BJPOBNPA_00264,MHOHJPEI_00203,IFBIBDFK_01103,NDJNICBH_01378,GDMGBJMC_00771,PCEJJBAK_01314,CENHJHOP_00610,OJDKFIFK_00268,HDNLMBCC_00786,LLAELIHG_02023,JNMNFCGE_00930,FDAPKMPL_00067,PPEHEOKD_01122,GBLJPCAA_01995,DMLJKPOB_00363
murE,,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",41,41,1,56,2479,90,2,,1451,1451,1451,CNENEDLI_00646,DFALKBJJ_00773,EJBHNGMC_01831,DCFFOKJI_01466,PHBPEANE_01230,JINGLCIG_00017,ADPOPIFB_01125,NJBJJNNI_00809,,AIHILEFE_00831,JGGOHAED_01296,GJMCKLCA_00911,GBODHHMP_00282,MNODNHPF_01521,EJGBHNGE_02149,BJIHFIIA_00763,CCJAMINL_02280,INNBEBHB_02245,BCLEFNON_02238,PIKLICFD_02041,KCBGGAIE_01987,DKDLJDCI_00244,HHABKOMD_01917,HFDAGFPP_02015,OIIKEPCC_00758,LJEDAGOM_01842,IPMILDJG_01274,BJPOBNPA_01605,MHOHJPEI_02248,IFBIBDFK_00898,NDJNICBH_01319,GDMGBJMC_00288,PCEJJBAK_00636,CENHJHOP_01914,OJDKFIFK_01912,HDNLMBCC_00332,LLAELIHG_01574,JNMNFCGE_00066,FDAPKMPL_00924,PPEHEOKD_01817,GBLJPCAA_00354,DMLJKPOB_00651
rfaQ_3,,Lipopolysaccharide core heptosyltransferase RfaQ,41,41,1,56,1317,7,32,,1073,1073,1073,CNENEDLI_00657,DFALKBJJ_01174,EJBHNGMC_00938,DCFFOKJI_00443,PHBPEANE_01029,JINGLCIG_00455,ADPOPIFB_01974,NJBJJNNI_01263,,AIHILEFE_01070,JGGOHAED_01037,GJMCKLCA_01774,GBODHHMP_01744,MNODNHPF_00350,EJGBHNGE_02040,BJIHFIIA_02282,CCJAMINL_01394,INNBEBHB_02135,BCLEFNON_02127,PIKLICFD_01168,KCBGGAIE_01838,DKDLJDCI_01174,HHABKOMD_01807,HFDAGFPP_01252,OIIKEPCC_00093,LJEDAGOM_02048,IPMILDJG_00540,BJPOBNPA_01098,MHOHJPEI_02139,IFBIBDFK_00556,NDJNICBH_01343,GDMGBJMC_01192,PCEJJBAK_01190,CENHJHOP_01713,OJDKFIFK_01711,HDNLMBCC_01896,LLAELIHG_01101,JNMNFCGE_02280,FDAPKMPL_00218,PPEHEOKD_00517,GBLJPCAA_00986,DMLJKPOB_01790
mepA_2,,Multidrug export protein MepA,41,41,1,56,1032,72,4,,1376,1394,1391,CNENEDLI_00708,DFALKBJJ_01454,EJBHNGMC_00867,DCFFOKJI_00285,PHBPEANE_00306,JINGLCIG_01243,ADPOPIFB_02289,NJBJJNNI_01866,DJMJFLHK_01359,AIHILEFE_01450,JGGOHAED_00235,GJMCKLCA_01669,GBODHHMP_01269,MNODNHPF_00088,EJGBHNGE_00928,BJIHFIIA_01160,CCJAMINL_01138,INNBEBHB_01040,BCLEFNON_01061,PIKLICFD_00905,KCBGGAIE_01055,DKDLJDCI_00903,HHABKOMD_00990,HFDAGFPP_01007,OIIKEPCC_00355,LJEDAGOM_00160,IPMILDJG_01841,BJPOBNPA_00851,MHOHJPEI_01027,IFBIBDFK_00294,NDJNICBH_00121,GDMGBJMC_01904,PCEJJBAK_00088,CENHJHOP_00988,OJDKFIFK_00650,HDNLMBCC_01582,LLAELIHG_00647,,FDAPKMPL_00942,PPEHEOKD_00271,GBLJPCAA_00654,DMLJKPOB_00047
group_2238,,hypothetical protein,41,41,1,56,943,75,2,,617,791,786,CNENEDLI_00730,DFALKBJJ_01768,,DCFFOKJI_01175,PHBPEANE_00265,JINGLCIG_01266,ADPOPIFB_02312,NJBJJNNI_01853,DJMJFLHK_01378,AIHILEFE_01437,JGGOHAED_01413,GJMCKLCA_00961,GBODHHMP_01243,MNODNHPF_00075,EJGBHNGE_00886,BJIHFIIA_01201,CCJAMINL_01097,INNBEBHB_01082,BCLEFNON_01102,PIKLICFD_00892,KCBGGAIE_01097,DKDLJDCI_00890,HHABKOMD_01031,HFDAGFPP_00966,OIIKEPCC_00368,LJEDAGOM_00202,IPMILDJG_00751,BJPOBNPA_00811,MHOHJPEI_01068,IFBIBDFK_00281,NDJNICBH_01295,GDMGBJMC_01945,PCEJJBAK_00075,CENHJHOP_00947,OJDKFIFK_00609,HDNLMBCC_01559,LLAELIHG_00721,JNMNFCGE_00909,FDAPKMPL_01212,PPEHEOKD_00231,GBLJPCAA_00581,DMLJKPOB_00006
yraA,,Putative cysteine protease YraA,41,41,1,56,938,1,2121,,548,548,548,CNENEDLI_00733,DFALKBJJ_01765,,DCFFOKJI_01171,PHBPEANE_00262,JINGLCIG_01269,ADPOPIFB_02315,NJBJJNNI_01850,DJMJFLHK_01381,AIHILEFE_01434,JGGOHAED_01416,GJMCKLCA_00964,GBODHHMP_01240,MNODNHPF_00072,EJGBHNGE_00883,BJIHFIIA_01204,CCJAMINL_01094,INNBEBHB_01085,BCLEFNON_01105,PIKLICFD_00889,KCBGGAIE_01100,DKDLJDCI_00887,HHABKOMD_01034,HFDAGFPP_00963,OIIKEPCC_00371,LJEDAGOM_00205,IPMILDJG_00748,BJPOBNPA_00808,MHOHJPEI_01071,IFBIBDFK_00278,NDJNICBH_01292,GDMGBJMC_01948,PCEJJBAK_00072,CENHJHOP_00944,OJDKFIFK_00606,HDNLMBCC_01556,LLAELIHG_00718,JNMNFCGE_00906,FDAPKMPL_01209,PPEHEOKD_00228,GBLJPCAA_00577,DMLJKPOB_00003
purN,,Phosphoribosylglycinamide formyltransferase,41,41,1,56,1243,228,1,,560,560,560,CNENEDLI_00843,DFALKBJJ_01361,EJBHNGMC_00192,DCFFOKJI_01056,PHBPEANE_00420,JINGLCIG_00767,ADPOPIFB_02234,NJBJJNNI_00115,,AIHILEFE_01850,JGGOHAED_00124,GJMCKLCA_01135,GBODHHMP_01595,MNODNHPF_00200,EJGBHNGE_01085,BJIHFIIA_01046,CCJAMINL_01252,INNBEBHB_00926,BCLEFNON_00947,PIKLICFD_01022,KCBGGAIE_00940,DKDLJDCI_01019,HHABKOMD_00876,HFDAGFPP_01113,OIIKEPCC_00239,LJEDAGOM_00046,IPMILDJG_01727,BJPOBNPA_00958,MHOHJPEI_00913,IFBIBDFK_00410,NDJNICBH_00006,GDMGBJMC_01797,PCEJJBAK_00204,CENHJHOP_01102,OJDKFIFK_00764,HDNLMBCC_01637,LLAELIHG_00185,JNMNFCGE_00264,FDAPKMPL_00714,PPEHEOKD_00381,GBLJPCAA_00796,DMLJKPOB_00152
typA,,GTP-binding protein TypA/BipA ,41,41,1,56,1212,1,2225,,1475,1811,1802,CNENEDLI_00869,DFALKBJJ_01346,,DCFFOKJI_01030,PHBPEANE_00403,JINGLCIG_00740,ADPOPIFB_02261,NJBJJNNI_00770,DJMJFLHK_00481,AIHILEFE_01875,JGGOHAED_00148,GJMCKLCA_01118,GBODHHMP_01570,MNODNHPF_00175,EJGBHNGE_01068,BJIHFIIA_01063,CCJAMINL_01235,INNBEBHB_00943,BCLEFNON_00964,PIKLICFD_00997,KCBGGAIE_00957,DKDLJDCI_00994,HHABKOMD_00893,HFDAGFPP_01096,OIIKEPCC_00264,LJEDAGOM_00063,IPMILDJG_01744,BJPOBNPA_00941,MHOHJPEI_00930,IFBIBDFK_00385,NDJNICBH_00023,GDMGBJMC_01814,PCEJJBAK_00179,CENHJHOP_01085,OJDKFIFK_00747,HDNLMBCC_01610,LLAELIHG_01560,JNMNFCGE_00290,FDAPKMPL_00735,PPEHEOKD_00364,GBLJPCAA_00766,DMLJKPOB_00135
oatA_1,,O-acetyltransferase OatA,41,41,1,56,1500,51,4,,1559,1814,1807,CNENEDLI_00926,DFALKBJJ_01741,EJBHNGMC_00090,DCFFOKJI_01891,PHBPEANE_01645,JINGLCIG_00371,ADPOPIFB_01890,NJBJJNNI_01826,,AIHILEFE_01405,JGGOHAED_01440,GJMCKLCA_00478,GBODHHMP_01209,MNODNHPF_00043,EJGBHNGE_00787,BJIHFIIA_00598,CCJAMINL_01070,INNBEBHB_00626,BCLEFNON_00565,PIKLICFD_00860,KCBGGAIE_00620,DKDLJDCI_00858,HHABKOMD_00552,HFDAGFPP_00189,OIIKEPCC_00400,LJEDAGOM_00377,IPMILDJG_01982,BJPOBNPA_00778,MHOHJPEI_00549,IFBIBDFK_00249,NDJNICBH_00551,GDMGBJMC_01741,PCEJJBAK_00043,CENHJHOP_00309,OJDKFIFK_00402,HDNLMBCC_01980,LLAELIHG_01883,JNMNFCGE_01744,FDAPKMPL_01964,PPEHEOKD_00075,GBLJPCAA_00545,DMLJKPOB_00418
group_2297,,hypothetical protein,41,41,1,56,5279,1,3060,,245,1202,1085,CNENEDLI_00997,,EJBHNGMC_02083,DCFFOKJI_00089,PHBPEANE_01419,JINGLCIG_01843,ADPOPIFB_00154,NJBJJNNI_01915,DJMJFLHK_01859,AIHILEFE_00133,JGGOHAED_01575,GJMCKLCA_00916,GBODHHMP_01087,MNODNHPF_01550,EJGBHNGE_01779,BJIHFIIA_02412,CCJAMINL_00946,INNBEBHB_01956,BCLEFNON_00398,PIKLICFD_00738,KCBGGAIE_00521,DKDLJDCI_01892,HHABKOMD_00327,HFDAGFPP_01837,OIIKEPCC_01587,LJEDAGOM_00290,IPMILDJG_02116,BJPOBNPA_01783,MHOHJPEI_02025,IFBIBDFK_01988,NDJNICBH_00462,GDMGBJMC_00200,PCEJJBAK_01931,CENHJHOP_00083,OJDKFIFK_00083,HDNLMBCC_01312,LLAELIHG_00254,JNMNFCGE_01748,FDAPKMPL_02083,PPEHEOKD_01898,GBLJPCAA_00387,DMLJKPOB_01123
